,Mean IP,Standard deviation IP,Excess kurtosis IP,Skewness IP,Mean DS,Standard deviation DS,Excess kurtosis DS,Skewness DS,Class
0,112.9140625,52.33829671,0.1477515,-0.234054103,0.805183946,10.92202555,17.08761161,330.9028616,0
1,124.953125,50.65105184,0.234961489,-0.184167183,2.883779264,15.71864999,8.423920152,91.36646995,0
2,49.0,31.46277562,3.50056118,18.93691145,7.443979933,30.92948673,4.988605266,26.94509399,1
3,42.578125,35.29554004,4.004084828,19.06477864,19.4264214,50.23405523,2.93287445,8.147740657,1
4,125.609375,49.4465043,0.206675254,-0.087822207,11.27675585,40.57598877,3.754499805,13.52283428,0
5,113.9765625,55.02761591,0.154132912,-0.576286459,2.717391304,17.99750257,8.406378686,82.49688608,0
6,128.78125,45.69958587,0.002629994,-0.151137971,2.930602007,21.89495368,8.558067147,78.1709308,0
7,85.625,45.59108328,0.912424096,1.264334799,4.18729097,23.86612688,7.304675125,58.36183391,0
8,121.328125,50.80140706,-0.077846788,-0.187830949,0.622909699,9.361422488,20.88135728,503.7270275,0
9,88.1015625,37.44033584,0.553748765,2.060683875,4.60451505,21.63492963,5.605363195,36.28932411,0
10,138.515625,50.77662239,-0.237304121,-0.387979406,10.26839465,38.95451045,4.079049789,16.18262394,0
11,36.7109375,38.26024216,4.363306569,20.29698008,107.2123746,74.62119531,0.115883054,-0.819637695,1
12,142.453125,51.94436016,-0.249129401,-0.068778171,2.173076923,19.02917961,9.337667745,91.04158349,0
13,124.734375,51.15364179,0.100039381,-0.314652189,2.203177258,18.34101048,9.63736934,99.06250795,0
14,126.9375,50.30636609,0.11279792,-0.179505127,1.690635452,16.7127396,10.47812886,115.1714701,0
15,105.359375,39.3239221,0.290554908,1.597021884,1.443979933,10.65141058,14.32043309,286.2754585,0
16,140.3203125,46.32526538,-0.052068203,-0.064981402,4.448996656,25.38390664,6.6076539,46.11811891,0
17,98.953125,54.22088207,0.69308503,0.03729946,3.194816054,18.38258427,8.227110897,80.62096146,0
18,96.2734375,48.87207709,0.568875412,0.310554862,3.799331104,24.83096432,8.034980039,66.66934439,0
19,141.5,50.46363171,-0.145550979,-0.170372455,6.179765886,30.00435239,5.611008574,32.92790537,0
20,121.5,53.13338169,0.132653793,-0.007199464,2.029264214,13.41590853,10.30550622,140.5959875,0
21,59.3515625,76.78445784,1.53630905,0.73669556,0.636287625,10.56698593,21.01723189,466.1354566,0
22,122.6015625,53.79697654,-0.051964773,-0.379729027,2.636287625,15.17095406,9.519292364,117.7422254,0
23,118.21875,45.64844218,0.206912163,0.217066088,2.33361204,16.82304839,9.162761851,96.13422261,0
24,79.2421875,34.90203837,1.82505181,6.81001969,15.68394649,49.77085059,3.394243699,10.63539364,1
25,124.2109375,50.14972151,0.112007491,0.144351009,2.248327759,13.78669463,9.902157411,130.2123271,0
